,site_id,x,y,area_m2,lon,lat,log_area,cluster
2942,nhdhr_159101738,252,148,1504790.47182315,-0.31373920830812524,0.4044720234177553,0.600994891354811,1
2943,nhdhr_121629778,252,149,1512247.41967345,-0.3080890835079301,0.4156409858348206,0.6040014537053554,1
2944,nhdhr_118874369,242,150,2181521.675445,-0.4384511155680822,0.4351607831403468,0.8268680478934847,1
2945,nhdhr_70913130,246,125,323681.374474152,-0.3909162239852693,-0.03223079990590357,-0.3336222959838791,13
2947,nhdhr_121629703,251,149,216346.485324476,-0.32008056956688224,0.42048066909096676,-0.5786600344494167,0
2948,nhdhr_118603509,255,149,352854.186148569,-0.2825364606447818,0.4263943774551553,-0.28113598580887056,13
2949,nhdhr_146615721,257,128,101941.71153767,-0.25470074462640624,0.014588003511527926,-1.0363316411897943,12
2952,nhdhr_137044132,242,139,1826482.0710865,-0.42846462863296736,0.23482022949836312,0.718829806664291,1
2953,nhdhr_132542745,239,148,2824375.81062932,-0.4734553020861675,0.3962828664746123,0.98394921109733,1
2954,nhdhr_121629875,253,149,10733914.3056397,-0.30209490393791044,0.4106521443569079,1.7959932610295182,15
2955,nhdhr_130997246,224,148,869806.5194591491,-0.6520229705567443,0.3958711001794446,0.2676076130489022,13
2956,nhdhr_{1147E5FE-F221-49D2-B30C-8DED199A3259},231,129,338193.866366854,-0.5664978244339276,0.028087906901896165,-0.30694606581738215,13
2957,nhdhr_120020689,244,149,892501.13473168,-0.41279526878638106,0.4121574784378782,0.2832734677988445,1
2958,nhdhr_118874139,246,151,435525.401494089,-0.38123719351138613,0.4544821514310806,-0.15310726025478802,13
2959,nhdhr_159101724,252,149,2463991.9090555,-0.31116258273369685,0.41062307909208867,0.9009246930068892,1
2960,nhdhr_147258632,256,125,120418.842748219,-0.2608347452745913,-0.03714845374038888,-0.9350178970377919,12
2961,nhdhr_145247770,200,118,1969280.97218014,-0.9393543142075884,-0.17804115675048748,0.7646144435559047,3
2962,nhdhr_129521817,215,119,11559071.055163499,-0.7580375847812693,-0.16258768834966061,1.841039202435188,15
2963,nhdhr_129712882,205,120,51898448.7883645,-0.8757461698657545,-0.13719657671245053,2.7544716067442803,9
2964,nhdhr_125348828,223,109,1632748.99624949,-0.6571756571467222,-0.35377639536764344,0.6506323993427219,3
2965,nhdhr_{81C52A93-E4C2-45BF-B10A-55ADC83CF215},230,94,270729.03528718697,-0.5825071204918391,-0.6400344731837789,-0.4422750015700641,12
2966,nhdhr_166806303,231,101,9517624.66304685,-0.5682680465593818,-0.5055248358363571,1.7228471965447505,9
2967,nhdhr_120032298,235,109,15308245.3338177,-0.5214916789492341,-0.3513196665237822,2.011900359124302,9
2968,nhdhr_167439062,240,105,745671.019830749,-0.4577869864509354,-0.43107344575757806,0.17395044230413811,5
2970,nhdhr_148593839,220,102,392724.344388838,-0.692484703707421,-0.4892284342597476,-0.21602443464276452,12
2972,nhdhr_51965886,230,99,262853.682677083,-0.5814630561515688,-0.5362764223517055,-0.46023014094261167,12
2974,nhdhr_46139752,234,101,70572.5014530965,-0.5333235970986613,-0.49860829871434603,-1.260010130349309,12
2975,nhdhr_34390552,238,110,722767.780351513,-0.4792599671918294,-0.33108896475238575,0.15497616374435305,5
2977,nhdhr_36913486,242,106,41028.684308267206,-0.4289270592540666,-0.3990189750820295,-1.589888589567294,12
2978,nhdhr_129589450,191,121,18856051.2593413,-1.0503108258648906,-0.12268662858852462,2.138678631568176,15
2980,nhdhr_120031767,233,98,13801126.844587198,-0.5409787883475505,-0.5680961163231373,1.948863864655013,9
2983,nhdhr_46115956,229,105,110152.961815845,-0.5897491526598322,-0.43474497039529186,-0.9892137723008272,12
2984,nhdhr_149826848,236,96,56204.5026365812,-0.5017298883098074,-0.6019266127633279,-1.3984670378862383,12
2985,nhdhr_142964667,211,111,31764031.0249213,-0.8053231919240096,-0.3096618861641861,2.4558645223256463,9
2986,nhdhr_131493834,232,95,16411818.8709724,-0.5551256735155203,-0.6187520739803709,2.054238474962071,9
2987,nhdhr_34706958,237,99,3320167.51042952,-0.49686325110869256,-0.5445833606485746,1.0823149372308503,3
2991,nhdhr_145195421,214,93,33575877.2704329,-0.7705800709915396,-0.6486080765322342,2.489604373274294,9
2992,nhdhr_149411188,223,93,3151409.28381488,-0.6583412684173038,-0.6490770931263642,1.0505869660565115,3
2993,nhdhr_149411358,224,94,65645761.9868183,-0.6440604417189253,-0.6422546821039561,2.8973931014608842,9
2995,nhdhr_159498191,223,107,25603639.0744986,-0.6676079720670626,-0.3925987112276148,2.324732769982274,9
2996,nhdhr_167143940,225,98,3970266.39241079,-0.6438317886191012,-0.5532313348476583,1.1910751685662813,3
2997,nhdhr_131495322,231,94,1086716.80420435,-0.5640173237339603,-0.6357956796422692,0.4030245449210949,3
2999,nhdhr_167439065,233,107,25495319.059659198,-0.5398656158979424,-0.3774422351350198,2.322154156167022,9
3000,nhdhr_120031256,236,111,29718070.670793,-0.5008045981454989,-0.31304701697842735,2.415369850402504,9
3001,nhdhr_36902247,240,109,17583763.600906197,-0.4565901468772861,-0.34961084190715885,2.0961898077292904,9
3002,nhdhr_146549917,201,99,1139863.60447956,-0.9230575091355091,-0.5472081986248416,0.4320654553434714,3
3003,nhdhr_149893717,208,93,98559.3736442793,-0.8371800185317418,-0.6499252375887854,-1.0568541501820394,14
3004,nhdhr_132415256,213,101,600181.2870814761,-0.7768872929146065,-0.5069982259939375,0.04193513283773623,3
3005,nhdhr_125345672,222,110,72526.66566921769,-0.6716714289588521,-0.3373291931474803,-1.2433974412174058,12
3007,nhdhr_51965188,230,100,189634.388237058,-0.5819506036159013,-0.5295691904303903,-0.6588129437536189,12
3008,nhdhr_46116378,230,104,406942.842877249,-0.5745448840468778,-0.43785187722323254,-0.19439330389027162,12
3009,nhdhr_34380616,237,112,535510.209567231,-0.4928309417696573,-0.2982174168869795,-0.027408851876820163,5
3010,nhdhr_34379598,241,112,652486.335002949,-0.4420947396708584,-0.2944071452647999,0.09275684893059401,5
3011,nhdhr_77033667,242,110,157876.067221877,-0.4398963863784399,-0.3258281798153069,-0.7702916938311097,12
3012,nhdhr_120031563,242,108,1105834.75830399,-0.43290683309985045,-0.3762562505276264,0.41363152113454493,5
3014,nhdhr_44649273,236,113,43591559.790174104,-0.5073329517434312,-0.2732309842152449,2.6483830350049624,9
3015,nhdhr_148590025,218,106,49904.4243801106,-0.7186195910031562,-0.39764859777604866,-1.470776331925066,12
3016,nhdhr_45818174,222,104,623805.5428311271,-0.6752650806056183,-0.4463823939207218,0.0654165507463852,3
3017,nhdhr_34608936,235,112,51820.170991757004,-0.521399056548802,-0.2990204951557731,-1.4478648892880184,12
3019,nhdhr_36931516,242,105,60896.5680621639,-0.4375371014309453,-0.4274451872531625,-1.349700181383457,12
3021,nhdhr_139504390,204,115,3835528.59962223,-0.8895676570360339,-0.23900293403734957,1.1700758880458837,3
3023,nhdhr_33429617,228,108,1485662.47696245,-0.6006744290441867,-0.37391983589539696,0.5932140352327742,3
3025,nhdhr_145690158,220,102,156662.42804172199,-0.6942773616209547,-0.48803324524034153,-0.7749853030469683,12
3026,nhdhr_149773414,221,100,136282.741006866,-0.6857829381172689,-0.5195109127169312,-0.8597475102849622,12
3027,nhdhr_45827940,224,101,742717.2140194009,-0.6538291453187386,-0.4995583590257434,0.17153634221712374,3
3028,nhdhr_36904769,241,108,748037.5445879559,-0.449005012683832,-0.36340491389747415,0.17587767668001783,5
3029,nhdhr_164156264,243,99,60687.009278063204,-0.4277690493617964,-0.5403049937107577,-1.3517968045086202,12
3030,nhdhr_45827774,223,101,1034136.66854172,-0.6613717270438845,-0.4986800348932738,0.3728605381959584,3
